Satellite,Lan,Dist
61366,11179,0.11119508023324305
61081,52041,0.18279806824993872
1003898,16984,0.2223901604664861
22802,24971,0.2795482523070224
50008,32700,0.44478032093367953
1001040,55147,0.7783655616341161
61731,85,0.9235792253570395
61498,55346,1.8656802253369966
1002289,32700,2.1379832665426464
1004453,55353,2.155535029778238
60892,55353,2.315687708697332
54088,3351,2.342876848480013
60929,31423,2.6835423266542033
10743,12938,3.349733294599125
13851,1000298,3.629241373909189
1004978,21265,4.670193369807525
61241,50921,4.903350343678821
1004876,24553,7.737699764464396
35681,54460,7.82805766925646
21965,3668,8.205156097239962
1003131,19476,9.614209725756197
60323,27280,10.566706619378952
60234,31224,11.64229888079046
28,51350,12.35021605532081
32314,55286,14.675705539665262
62741,18414,17.475409231023185
62843,1003169,20.728695323906624
62417,62480,21.140063700988314
50017,20453,21.963040885747965
60510,15609,23.47209405531026
55492,34568,26.051685655692157
24742,10933,26.68952080963855
1001356,11828,26.802929523411198
61780,19991,27.59894922608949
53509,54877,29.30781313906339
61899,13667,29.762698223753485
60328,928,30.014458423761926
17979,95,38.00752937050045
19648,15542,39.21631018628719
1002750,3150,40.229925988672235
62365,10394,43.68122877616428
61532,28225,51.259268661817075
61365,50084,55.726273551162414
53798,54845,62.93033791785074
20544,10603,65.90426526313449
52422,1002553,73.35495608014375
15623,61357,76.16979719911593
52955,22878,87.57913770994035
62498,1001544,87.70829965704122
12426,1002532,91.24212312288235
13040,26756,91.26516192302743
62956,50495,114.09650876992731
23127,13671,136.70830327446305
54330,28181,203.51109633914356
28221,1003432,209.1950992976013
35042,24639,247.7685673171437
