Cellular IDs,Wifi IDs,LAN IDs
1000402,1000033,1000032
1000503,1001151,1000172
1000647,1003341,1000034
1000788,50927,1000840
1002075,1000563,1000030
1002225,23394,1002225
1002626,32,1000785
1002683,13441,1000390
1002849,55739,1000338
1002927,1000774,10338
1003425,31811,1000675
1003494,14723,1000875
1003519,52028,1002907
1003610,1003465,1000060
1004094,29292,1000336
1004571,32378,1000306
1004701,22150,1002012
1004854,1001169,1000169
1005104,10001,1
1114,17968,1000062
11170,35407,1002376
11824,1000261,1000069
13308,21529,1000632
16377,1000559,1000559
16426,22935,1004499
16494,50804,1004502
16715,22585,1000063
16827,1000362,1000056
18565,18833,12884
20551,50852,1000387
21782,32006,1000362
21965,1000068,1000068
24080,23835,1000182
25993,61316,1001567
26178,1002758,1000071
27351,27351,1000082
28477,1005159,1001947
31866,13615,1000581
33318,3854,1000899
429,11740,1000000
50180,51025,1004072
50412,18956,1001141
50638,35154,1000298
53760,54080,1001541
54617,1000327,1000327
55276,55404,10001
61451,25746,1000261
62932,14698,53118
